00836,CHINA RES POWER,华润电力　　　　
00857,PETROCHINA,中国石油股份　　
00861,DC HOLDINGS,神州控股　　　　
00867,CMS,康哲药业　　　　
00868,XINYI GLASS,信义玻璃　　　　
00874,BAIYUNSHAN PH,白云山　　　　　
00880,SJM HOLDINGS,澳博控股　　　　
00881,ZHONGSHENG HLDG,中升控股　　　　
00883,CNOOC,中国海洋石油　　
00902,HUANENG POWER,华能国际电力股份
00911,HANGFAT GI-NEW,恒发洋参（新）　
00914,ANHUI CONCH,安徽海螺水泥股份
00916,CHINA LONGYUAN,龙源电力　　　　
00931,CHINA LNG,中国天然气　　　
00933,BRIGHTOIL,光汇石油　　　　
00934,SINOPEC KANTONS,中石化冠德　　　
00939,CCB,建设银行　　　　
00941,CHINA MOBILE,中国移动　　　　
00958,HN RENEWABLES,华能新能源　　　
00960,LONGFOR PPT,龙湖地产　　　　
00966,CHINA TAIPING,中国太平　　　　
00968,XINYI SOLAR,信义光能　　　　
00981,SMIC,中芯国际　　　　
00991,DATANG POWER,大唐发电　　　　
00992,LENOVO GROUP,联想集团　　　　
00995,ANHUIEXPRESSWAY,安徽皖通高速公路
00996,CARNIVAL GROUP,嘉年华国际　　　
00998,CITIC BANK,中信银行　　　　
01033,SINOPEC SSC,中石化油服　　　
01038,CKI HOLDINGS,长江基建集团　　
01044,HENGAN INT'L,恒安国际　　　　
01053,CHONGQING IRON,重庆钢铁股份　　
01055,CHINA SOUTH AIR,中国南方航空股份
01060,ALI PICTURES,阿里影业　　　　
01065,TIANJIN CAPITAL,天津创业环保股份
01066,WEIGAO GROUP,威高股份　　　　
01071,HUADIAN POWER,华电国际电力股份
01072,DONGFANG ELEC,东方电气　　　　
01076,IMPERIAL PAC,博华太平洋　　　
01083,TOWNGAS CHINA,港华燃气　　　　
01088,CHINA SHENHUA,中国神华　　　　
01093,CSPC PHARMA,石药集团　　　　
01099,SINOPHARM,国药控股　　　　
01108,LUOYANG GLASS,洛阳玻璃股份　　
01109,CHINA RES LAND,华润置地　　　　
01111,CHONG HING BANK,创兴银行　　　　
01112,BIOSTIME,合生元　　　　　
01113,CK PROPERTY,长实地产　　　　
01114,BRILLIANCE CHI,　　　　　　　　
01117,CH MODERN D,现代牧业　　　　
01128,WYNN MACAU,永利澳门　　　　
01136,TCC INT'L HOLD,台泥国际集团　　
01138,CHINA SHIP DEV,中海发展股份　　
01165,SFCE,顺风清洁能源　　
01169,HAIER ELEC,海尔电器　　　　
01171,YANZHOU COAL,兖州煤业股份　　
01177,SINO BIOPHARM,中国生物制药　　
01186,CHINA RAIL CONS,中国铁建　　　　
01193,CHINA RES GAS,华润燃气　　　　
01199,COSCO PACIFIC,中远太平洋　　　
01205,CITIC RESOURCES,中信资源　　　　
01208,MMG,五矿资源　　　　
01212,LIFESTYLE INT'L,利福国际　　　　
01230,YASHILI INT'L,雅士利国际　　　
01282,CHINA GOLDJOY,中国金洋　　　　
01288,ABC,农业银行　　　　
01293,BAOXIN AUTO,宝信汽车　　　　
01299,AIA,友邦保险　　　　
01308,SITC,海丰国际　　　　
01313,CHINARES CEMENT,华润水泥控股　　
01316,NEXTEER,耐世特　　　　　
01333,CHINA ZHONGWANG,中国忠旺　　　　
01336,NCI,新华保险　　　　
01339,PICC GROUP,中国人民保险集团
01347,HUA HONG SEMI,华虹半导体　　　
01359,CHINA CINDA,中国信达　　　　
01363,CTEG,中滔环保　　　　
01378,CHINAHONGQIAO,中国宏桥　　　　
01382,PACIFICTEXTILES,互太纺织　　　　
01387,RENHE COMM,人和商业　　　　
01398,ICBC,工商银行　　　　
01432,CHINA SHENGMU,中国圣牧　　　　
01508,CHINA RE,中国再保险　　　
01530,3SBIO,三生制药　　　　
01578,BANK OF TIANJIN,天津银行　　　　
01618,MCC,中国中冶　　　　
01668,CHINASOUTHCITY,华南城　　　　　
01680,MACAU LEGEND,澳门励骏　　　　
01728,ZHENGTONGAUTO,正通汽车　　　　
01766,CRRC,中国中车　　　　
01788,GUOTAI JUNAN I,国泰君安国际　　
01800,CHINA COMM CONS,中国交通建设　　
01813,KWG PROPERTY,合景泰富　　　　
01816,CGN POWER,中广核电力　　　
01828,DCH HOLDINGS,大昌行集团　　　
01833,INTIME,银泰商业　　　　
01880,BELLE INT'L,百丽国际　　　　
01882,HAITIAN INT'L,海天国际　　　　
01888,KB LAMINATES,建滔积层板　　　
01898,CHINA COAL,中煤能源　　　　
01918,SUNAC,融创中国　　　　
01919,CHINA COSCO,中国远洋　　　　
01928,SANDS CHINA LTD,金沙中国有限公司
01929,CHOW TAI FOOK,周大福　　　　　
01970,IMAX CHINA,　　　　　　　　
01972,SWIREPROPERTIES,太古地产　　　　
01988,MINSHENG BANK,民生银行　　　　
01999,MAN WAH HLDGS,敏华控股　　　　
02007,COUNTRY GARDEN,碧桂园　　　　　
02008,PHOENIX TV,凤凰卫视　　　　
02009,BBMG,金隅股份　　　　
02016,CZBANK,浙商银行　　　　
02018,AAC TECH,瑞声科技　　　　
02020,ANTA SPORTS,安踏体育　　　　
02038,FIH,富智康集团　　　
02066,SHENGJINGBANK,盛京银行　　　　
02098,ZALL GROUP,卓尔集团　　　　
02128,CHINA LESSO,中国联塑　　　　
02168,YINGDE GASES,盈德气体　　　　
02186,LUYE PHARMA,绿叶制药　　　　
02196,FOSUN PHARMA,复星医药　　　　
02238,GAC GROUP,广汽集团　　　　
02282,MGM CHINA,美高梅中国　　　
02298,COSMO LADY,都市丽人　　　　
02313,SHENZHOU INTL,申洲国际　　　　
02314,LEE & MAN PAPER,理文造纸　　　　
02318,PING AN,中国平安　　　　
02319,MENGNIU DAIRY,蒙牛乳业　　　　
02328,PICC P&C,中国财险　　　　
